feature,estimate,p,q
Gene_0272,-0.3566253315118917,0.0020021495856721748,0.0020482348702528645
Gene_0273,-0.48227759508520934,5.29532494691001e-14,8.899705793126068e-14
Gene_0274,-0.2925076189226099,1.2045575785340058e-9,1.578023028647169e-9
Gene_0275,-0.3864790187989063,1.9070185766283425e-6,2.179449801860963e-6
Gene_0276,-0.3768275730604596,3.428121339518443e-13,5.47040639284858e-13
Gene_0277,-0.4391116791084543,1.6733604005257586e-12,2.5515025166847653e-12
Gene_0278,-0.3679865460258718,1.4827332263032115e-14,2.582409102414882e-14
Gene_0279,-0.4289308291902232,8.52544246193942e-10,1.127952696177211e-9
Gene_0280,-0.40120794838611873,2.03162901216782e-4,2.136682571955639e-4
Gene_0281,-0.4426594304717774,1.8758410574243278e-22,5.655802183188929e-22
Gene_0282,-0.40306822519533053,2.096468350545384e-18,4.8194674725181246e-18
Gene_0283,-0.41555849966086733,3.6277496182796236e-12,5.434830888808425e-12
Gene_0284,-0.48364674688024506,1.4181485627091746e-10,1.9538212115396207e-10
Gene_0285,-0.49149991185464803,8.071307918729012e-20,2.0262697703922204e-19
Gene_0286,-0.46009494380177873,3.0052442697324976e-11,4.324092474435248e-11
Gene_0287,-0.3259050945385035,6.52066038649686e-7,7.596885887180808e-7
Gene_0288,-0.44894101948748416,3.0346824915930953e-32,1.3741958452497035e-31
Gene_0289,-0.3626880397124563,1.3094190484767246e-20,3.4382994708360383e-20
Gene_0290,-0.44416992074192185,6.61175592158265e-25,2.299741190115704e-24
Gene_0291,-0.4385019676835138,3.805488524696399e-24,1.2684961748987996e-23
Gene_0292,-0.36981685534182307,1.8504066449399317e-13,3.0047198564653833e-13
Gene_0293,-0.3646428397737855,1.2900070580112913e-5,1.4162932018422228e-5
Gene_0294,-0.3752125936705486,0,0
Gene_0295,-0.4310845101614734,2.0081518495984368e-17,4.287868718003779e-17
Gene_0296,-0.4095654595142213,3.3805520456397044e-19,8.178754949128317e-19
Gene_0297,-0.3309820342510927,7.606374137399951e-6,8.459359559666303e-6
Gene_0298,-0.4197348992599734,9.321712764306703e-24,3.023258193829201e-23
Gene_0299,-0.3924312934196143,3.944681817313162e-29,1.6322821313019983e-28
Gene_0300,-0.4132388311960082,2.0094852178576454e-8,2.4820176852398573e-8
Gene_0301,-0.3882257427073509,6.294920565361356e-15,1.1274484594677056e-14
Gene_0302,-0.3034356366896934,1.6158137500619494e-6,1.8537060230156208e-6
Gene_0303,-0.5186513105898962,0,0
Gene_0304,-0.46980545305227017,9.39093316491117e-25,3.201454488037899e-24
Gene_0305,-0.3914237914529894,6.166255739343862e-5,6.571498123634667e-5
Gene_0306,-0.3932576891849046,1.7195745669495282e-21,4.743653977791802e-21
Gene_0307,-0.38368720503942694,1.3605239330134309e-17,2.9416733686776886e-17
Gene_0308,-0.5030761309752882,1.0588060993332727e-28,4.307007861694668e-28
Gene_0309,-0.48834162500774053,7.911606247243987e-18,1.7388145598338435e-17
Gene_0310,-0.4175735874705163,2.829598793714532e-34,1.3747038673916754e-33
Gene_0311,-0.4125918163166481,1.4166878002226815e-13,2.3192706142799697e-13
Gene_0312,-0.3411679871261937,0,0
Gene_0313,-0.3142456176281343,1.5784078568757998e-7,1.8940894282509596e-7
Gene_0314,-0.3252282287583887,0,0
Gene_0315,-0.323768048587393,2.044443406653753e-11,2.959387319643551e-11
Gene_0316,-0.33907807758312586,9.76626413843491e-4,0.0010094329858847451
Gene_0317,-0.37464634152006826,0,0
Gene_0318,-0.422426815095252,4.399515373608577e-12,6.574618242005345e-12
Gene_0319,-0.44150692603518127,1.0879016889061529e-16,2.2052061261611209e-16
Gene_0320,-0.42571861603795536,0,0
Gene_0321,-0.4666005338351517,1.1408749686119535e-26,4.2254628467109386e-26
Gene_0322,-0.43634045310499325,2.550369795655075e-13,4.1079781943437445e-13
Gene_0323,-0.47311178481661537,0,0
Gene_0324,-0.4157872075052215,3.1072449404108716e-17,6.507319246933762e-17
Gene_0325,-0.385495696894114,7.295247949113639e-13,1.1374004535492866e-12
Gene_0326,-0.5097509596034672,7.693934764613084e-8,9.316570855232795e-8
Gene_0327,-0.43935957401125764,9.398919502334442e-18,2.0512126712494304e-17
Gene_0328,-0.438929875896306,5.7538473136821696e-11,8.104010300960801e-11
Gene_0329,-0.38953239168842224,1.0468202433037407e-18,2.4487023235175223e-18
Gene_0330,-0.3938170546017159,1.1429280051621596e-10,1.5782665203620155e-10
Gene_0331,-0.42577014107671957,3.5825375203728816e-17,7.46361983411017e-17
Gene_0332,-0.33264666037744156,0.006178067562509694,0.006240472285363328
Gene_0333,-0.2268572703651629,0,0
Gene_0334,-0.5674288274422676,0,0
Gene_0335,-0.4445748255453366,1.460935760146298e-32,6.691308825097547e-32
Gene_0336,-0.40612621981242913,1.926905411108684e-6,2.200082296223046e-6
Gene_0337,-0.514893964895303,2.1107663831150463e-10,2.8783177951568813e-10
Gene_0338,-0.5134013914343799,4.582594522265027e-15,8.281797329394628e-15
Gene_0339,-0.2837113753642087,0.0020056785599138725,0.002050097335516735
Gene_0340,-0.42341054995008215,5.2864459648051266e-20,1.355498965334648e-19
Gene_0341,-0.325360775310788,5.8238630119199215e-18,1.2917995590210548e-17
Gene_0342,-0.3766631832641,2.286763401337298e-9,2.9538386239017843e-9
Gene_0343,-0.4051520543526862,5.230847183610331e-27,1.980131425972365e-26
Gene_0344,-0.3377010998856077,2.4274075573664763e-17,5.146447118091469e-17
Gene_0345,-0.4946633103176172,1.7047009568934303e-5,1.8562986826425737e-5
Gene_0346,-0.423134471281715,6.949198352598178e-29,2.8460880624975468e-28
Gene_0347,-0.32235686236399225,0.013011998981164619,0.013077385910718208
Gene_0348,-0.44391871279654244,8.682793631968992e-24,2.823672725843575e-23
Gene_0349,-0.454252380593976,5.17838749073444e-9,6.610707434980137e-9
Gene_0350,-0.3138343966989781,0,0
Gene_0351,-0.3005930278581122,7.361799481498707e-12,1.0906369602220307e-11
Gene_0352,-0.3969348517941379,1.7382460287938967e-28,6.999648438096229e-28
Gene_0353,-0.4337660813487683,1.2095156723285377e-9,1.5827904108988499e-9
Gene_0354,-0.4761824238961295,2.0086205730660784e-6,2.2912021746000896e-6
Gene_0355,-0.37653097968901955,1.1366768849012341e-9,1.4907237834770284e-9
Gene_0356,-0.4384993181128101,0,0
Gene_0357,-0.3877740172208791,3.5432791975013075e-4,3.700552686685439e-4
Gene_0358,-0.5083321179227853,1.5248709486338248e-10,2.0912515866978168e-10
Gene_0359,-0.4762919663847337,1.605349507053073e-28,6.486260634557871e-28
Gene_0360,-0.43964910090589815,0,0
Gene_0361,-0.35210930919169264,1.7357813872574057e-7,2.0767075420826392e-7
Gene_0362,-0.40958021517821,2.0253572773167628e-5,2.1955092437038078e-5
Gene_0363,-0.4101903929343063,6.255378156209094e-17,1.2831544935813525e-16
Gene_0364,-0.4588595275592383,1.795305026012089e-7,2.1457828996160428e-7
Gene_0365,-0.46250182766942977,5.868639906610541e-20,1.495194880665106e-19
Gene_0366,-0.42526816803102774,3.959317366707495e-27,1.5083113777933313e-26
Gene_0367,-0.49304706918015334,0,0
Gene_0368,-0.3984580092704849,2.6708712508260795e-15,4.923264978481253e-15
Gene_0369,-0.32890373147051116,1.1212795225989411e-9,1.4737518369317955e-9
Gene_0370,-0.31928415670334626,0,0
Gene_0371,-0.29963998986097584,1.1195406503828255e-10,1.5495372323637723e-10
Gene_0372,-0.43514713912735226,8.315869841295116e-17,1.6942349421993446e-16
Gene_0373,-0.3088147049715826,1.2535871410027556e-8,1.5669839262534446e-8
Gene_0374,-0.33450091655643227,3.919347896162392e-9,5.03017911806938e-9
Gene_0375,-0.4995716595442674,4.2253799355675756e-19,1.014091184536218e-18
Gene_0376,-0.33553124330544803,2.2437126834042295e-14,3.840877632075714e-14
Gene_0377,-0.5095270913650901,4.1088776837879435e-24,1.3583066723265929e-23
Gene_0378,-0.46547005055837587,1.5260918533457298e-13,2.491578536074661e-13
Gene_0379,-0.4546942031763744,8.942450836280747e-18,1.958200913054178e-17
Gene_0380,-0.44974898390970414,0,0
Gene_0381,-0.4330100535948553,5.505193133546616e-15,9.904395442662577e-15
Gene_0382,-0.5291966570639696,1.0204565458602722e-30,4.452901291026642e-30
Gene_0383,-0.35793742985233984,3.4980617482925073e-13,5.57460039568527e-13
Gene_0384,-0.3524484465838382,2.1011803767056845e-22,6.303541130117054e-22
Gene_0385,-0.3894381197378391,1.339702944308607e-16,2.7110346259196094e-16
Gene_0386,-0.5322951756415235,5.450694075067658e-10,7.259525960134506e-10
Gene_0387,-0.4493253437078707,6.5330708933095e-6,7.285952669118402e-6
Gene_0388,-0.5435026863192732,0,0
Gene_0389,-0.3069507900919898,2.7898254135355605e-5,3.016027474092498e-5
Gene_0390,-0.37680165086685324,0,0
Gene_0391,-0.35897183409283856,1.1483074151469422e-19,2.8707685378673554e-19
Gene_0392,-0.390927451216886,8.391400622688907e-16,1.5983620233693157e-15
